x,y,z
-141, 73, 10
-119, 63, 1
-106, 41, 4
-98, 31, 11
-98, 27, 19
-127, 18, 23
-129, 29, 22
-166, 24, 30
-128, 58, 8
-126, 93, 8
-133, 70, 28
-101, 100, 4
-88, 77, 9
-77, 84, -27
-97, 89, -28
-106, 97, -15
-122, 120, -4
-151, 142, -17
-179, 124, -14
-137, 154, -20
-147, 103, 2
-142, 95, 3
-115, 71, 6
-101, 47, 7
-103, 39, 9
-99, 33, 11
-105, 28, 21
-121, 28, 22
-136, 41, 29
-169, 49, 33
-123, 79, 1
-135, 91, 6
-128, 102, 15
-76, 101, 3
-66, 85, 12
-94, 89, -16
-108, 81, -26
-120, 101, -15
-132, 136, -14
-180, 129, -5
-139, 135, -23
-142, 117, 2
-153, 105, 8
-134, 88, 6
-99, 57, -1
-96, 42, 3
-99, 31, 12
-99, 35, 30
-114, 45, 33
-120, 35, 27
-168, 38, 26
-119, 67, -1
-127, 82, 7
-142, 92, 19
-95, 89, 4
-78, 79, 16
-90, 93, -16
-100, 108, -13
-113, 96, -6
-128, 114, -5
-158, 123, -7
-179, 124, -10
-133, 127, -16
-150, 101, 4
-142, 95, 14
-115, 63, 6
-105, 56, 2
-106, 45, 4
-102, 27, 14
-107, 29, 20
-118, 21, 19
-150, 30, 32
-157, 47, 13
-126, 73, 0
-145, 72, 15
-134, 95, 11
-92, 90, 10
-84, 94, 1
-95, 101, -15
-101, 92, -10
-115, 87, 2
-135, 106, -5
-187, 125, 4
-148, 133, -14
-138, 106, 7
-141, 94, 16
-135, 75, 17
-114, 50, 5
-108, 42, 3
-104, 38, 12
-96, 33, 18
-104, 30, 14
-114, 34, 9
-156, 48, 17
-151, 89, 9
-124, 95, 2
-128, 83, 1
-94, 92, -23
-66, 76, -6
-85, 83, -22
-101, 95, -51
-103, 93, -17
-133, 109, -6
-157, 127, -6
-181, 145, 3
-129, 142, -10
-135, 104, 2
-124, 92, 13
-107, 78, 5
-99, 64, 9
-98, 56, -2
-93, 41, -1
-94, 37, 1
-108, 39, 9
-126, 53, 24
-170, 50, 23
-132, 84, -13
-129, 97, -14
-111, 93, 9
-71, 105, 19
-74, 96, 3
-89, 100, -27
-90, 94, -6
-102, 96, -5
-124, 121, -10
-170, 119, 0
-133, 126, -24
-128, 119, -16
-147, 99, -5
-127, 99, -8
-109, 87, -7
-106, 77, -9
-109, 56, 0
-111, 55, 7
-113, 48, 4
-113, 41, 0
-126, 38, 14
-129, 51, -1
-96, 99, -24
-129, 84, -9
-139, 138, 20
